pmid,title,journal,date
33476678,Food emulsifier polysorbate 80 promotes the intestinal absorption of mono-2-ethylhexyl phthalate by disturbing intestinal barrier,Toxicol Appl Pharmacol,2021/01/21
33442804,"Assessment of 17α-ethinylestradiol effects in Daphnia magna: life-history traits, biochemical and genotoxic parameters",Environ Sci Pollut Res Int,2021/01/14
33309446,Effect of pyrolysis temperature on removal of organic pollutants present in anaerobically stabilized sewage sludge,Chemosphere,2020/12/14
33265944,Oral Bisphenol A Worsens Liver Immune-Metabolic and Mitochondrial Dysfunction Induced by High-Fat Diet in Adult Mice: Cross-Talk between Oxidative Stress and Inflammasome Pathway,Antioxidants (Basel),2020/12/03
33261836,Environmentally relevant concentrations of carbamazepine induced lipid metabolism disorder of Chinese rare minnow (Gobiocypris rarus) in a gender-specific pattern,Chemosphere,2020/12/02
33254919,Gastrointestinal and respiratory exposure of water birds to endocrine disrupting phenolic compounds,Sci Total Environ,2020/12/01
33049448,Interaction of BDE-47 with nuclear receptors (NRs) based on the cytotoxicity: In vitro investigation and molecular interaction,Ecotoxicol Environ Saf,2020/10/13
32755786,Occurrence and risk assessment of emerging contaminants in a water reclamation and ecological reuse project,Sci Total Environ,2020/08/07
32664857,Health impacts of environmental contamination of micro- and nanoplastics: a review,Environ Health Prev Med,2020/07/16
32286625,Dietary Exposure to Oxidized Frying Oil from Fetus to Adulthood Suppresses Male Reproductive Development by Altering Testicular Cholesterol and Testosterone Homeostasis in Sprague Dawley Rats,J Nutr,2020/04/15
32213412,Association of prenatal exposure to PAHs with anti-Müllerian hormone (AMH) levels and birth outcomes of newborns,Sci Total Environ,2020/03/28
32165126,Exposure to di(2-ethylhexyl) phthalate and diisononyl phthalate during adulthood disrupts hormones and ovarian folliculogenesis throughout the prime reproductive life of the mouse,Toxicol Appl Pharmacol,2020/03/14
32090831,Efficiency of selected wastewater treatment processes in removing estrogen compounds and reducing estrogenic activity using the T47D-KBLUC reporter gene assay,J Environ Manage,2020/02/25
31939680,Effects of Benzophenone-3 and Propylparaben on Estrogen Receptor-Dependent R-Loops and DNA Damage in Breast Epithelial Cells and Mice,Environ Health Perspect,2020/01/16
31875672,Mono-(2-Ethylhexyl)phthalate Regulates Cholesterol Efflux via MicroRNAs Regulated m(6)A RNA Methylation,Chem Res Toxicol,2019/12/27
31127318,Insights into the activation mechanism of human estrogen-related receptor γ by environmental endocrine disruptors,Cell Mol Life Sci,2019/05/26
30790712,In utero exposure to bisphenol-A disrupts key elements of retinoid system in male mice offspring,Food Chem Toxicol,2019/02/22
30682737,Outdoor manufacture of UV-Cured plastic linings for storm water culvert repair: Chemical emissions and residual,Environ Pollut,2019/01/27
30557811,"Variations in repeated serum concentrations of UV filters, phthalates, phenols and parabens during pregnancy",Environ Int,2018/12/18
30509511,"Air pollution, environmental chemicals, and smoking may trigger vitamin D deficiency: Evidence and potential mechanisms",Environ Int,2018/12/05
30414542,Persistent endocrine-disrupting chemicals found in human follicular fluid stimulate the proliferation of granulosa tumor spheroids via GPR30 and IGF1R but not via the classic estrogen receptors,Chemosphere,2018/11/11
30176550,"Maternal exposure to TCDD during gestation advanced sensory-motor development, but induced impairments of spatial learning and memory in adult male rat offspring",Chemosphere,2018/09/04
29929047,"Isolated hypospadias: The impact of prenatal exposure to pesticides, as determined by meconium analysis",Environ Int,2018/06/22
29912934,Multigenerational effects of bisphenol A or ethinyl estradiol exposure on F2 California mice (Peromyscus californicus) pup vocalizations,PLoS One,2018/06/19
29307701,Toxicological effects of regulated mycotoxins and persistent organochloride pesticides: In vitro cytotoxic assessment of single and defined mixtures on MA-10 murine Leydig cell line,Toxicol In Vitro,2018/01/09
28936609,A hierarchical testing strategy for micropollutants in drinking water regarding their potential endocrine-disrupting effects-towards health-related indicator values,Environ Sci Pollut Res Int,2017/09/23
